name,number,reference,citation,dvalue,newk,newknum,refage,D_K,nD_K,D_nK,nD_nK
internet_privacy,27462,23.393,42.738,0.11,0.357,0.54,-6.512,-7.064,-6.592,-6.433,-6.441
combinatorics,175477,16.161,30.76,0.016,0.113,0.148,-12.931,-12.084,-11.009,-15.191,-13.141
economic_policy,16485,23.196,31.017,0.114,0.303,0.444,-8.994,-9.0,-8.963,-8.691,-9.045
acoustics,233356,15.715,23.359,0.16,0.118,0.142,-11.039,-10.835,-10.883,-10.616,-11.147
astronomy,91067,39.717,37.631,0.037,0.087,0.125,-9.058,-11.411,-9.419,-11.503,-8.924
agroforestry,66077,32.769,37.106,0.051,0.226,0.32,-11.028,-12.665,-11.075,-12.037,-10.934
financial_system,16400,27.994,48.738,0.063,0.217,0.295,-9.378,-8.334,-8.943,-8.241,-9.592
physical_therapy,458903,31.126,45.619,0.021,0.135,0.171,-9.564,-9.823,-9.79,-10.021,-9.519
geophysics,122222,34.466,44.983,0.008,0.115,0.144,-10.678,-12.152,-9.982,-13.29,-10.746
industrial_organization,32767,30.798,54.828,0.055,0.275,0.382,-10.763,-8.881,-10.178,-9.499,-11.097
metallurgy,346327,15.448,22.366,0.136,0.058,0.069,-10.615,-12.114,-10.4,-11.252,-10.512
socioeconomics,40940,28.025,37.335,0.076,0.308,0.446,-10.004,-10.825,-9.988,-10.579,-9.935
communication,86433,37.459,50.78,0.015,0.298,0.419,-11.904,-12.353,-11.472,-13.94,-12.056
evolutionary_biology,41699,50.783,69.866,0.012,0.392,0.628,-10.921,-14.261,-10.949,-13.765,-10.841
photochemistry,318900,29.027,29.215,0.033,0.085,0.103,-10.094,-12.95,-9.525,-14.317,-9.994
operations_management,91173,24.92,42.244,0.069,0.233,0.311,-10.283,-9.379,-9.797,-9.792,-10.485
aesthetics,11373,22.041,25.995,0.15,0.396,0.625,-15.369,-17.347,-14.501,-17.459,-15.347
library_science,19960,24.514,28.549,0.147,0.348,0.509,-9.375,-10.364,-9.379,-10.428,-9.099
telecommunications,73888,18.673,34.375,0.166,0.218,0.311,-6.778,-7.314,-7.705,-6.126,-6.619
macroeconomics,39748,28.137,46.7,0.028,0.199,0.268,-11.005,-10.0,-10.874,-10.378,-11.063
marketing,169274,34.512,56.032,0.059,0.149,0.19,-10.665,-8.979,-9.939,-9.675,-10.872
computer_hardware,195027,16.587,18.015,0.284,0.107,0.13,-6.888,-6.962,-7.241,-6.589,-6.961
financial_economics,57047,28.082,61.562,0.019,0.176,0.238,-11.234,-11.141,-10.459,-10.679,-11.407
animal_science,76073,21.703,28.045,0.034,0.287,0.405,-12.015,-12.942,-11.624,-13.157,-12.118
applied_mathematics,50219,19.056,35.1,0.034,0.242,0.329,-12.011,-12.402,-11.199,-14.252,-12.189
international_economics,23677,25.742,38.715,0.065,0.211,0.277,-9.252,-7.948,-8.946,-8.502,-9.41
paleontology,117233,38.455,36.834,0.012,0.247,0.387,-15.493,-17.208,-16.986,-16.66,-14.984
nuclear_magnetic_resonance,235406,18.556,26.026,0.05,0.123,0.159,-9.512,-10.623,-8.761,-12.217,-9.465
artificial_intelligence,818575,21.536,38.452,0.081,0.082,0.1,-8.057,-8.131,-8.273,-7.292,-8.105
nuclear_physics,73572,21.668,26.351,0.073,0.094,0.114,-8.986,-9.666,-8.618,-11.77,-8.803
keynesian_economics,6287,24.171,35.864,0.045,0.353,0.513,-13.289,-11.638,-13.417,-12.858,-13.286
social_psychology,585546,35.503,56.255,0.024,0.082,0.095,-11.635,-11.905,-10.954,-13.043,-11.661
anatomy,630080,33.19,40.03,0.011,0.158,0.198,-11.221,-15.753,-12.167,-15.11,-10.99
multimedia,142553,24.809,33.379,0.142,0.168,0.218,-6.632,-6.769,-6.757,-6.261,-6.666
medicinal_chemistry,49513,19.406,18.518,0.136,0.149,0.194,-10.705,-11.193,-9.897,-11.894,-10.645
organic_chemistry,1019152,26.447,28.649,0.07,0.062,0.073,-10.614,-12.364,-10.128,-13.183,-10.446
computational_science,11104,19.994,43.737,0.076,0.473,0.784,-8.552,-8.016,-8.212,-8.134,-8.928
ecology,779497,36.5,43.519,0.014,0.152,0.197,-12.764,-17.528,-13.879,-15.704,-12.509
programming_language,69421,20.267,41.052,0.06,0.186,0.247,-6.821,-6.292,-6.314,-6.612,-6.957
visual_arts,10635,15.252,17.073,0.191,0.394,0.627,-15.009,-16.504,-14.326,-17.814,-14.556
dermatology,111687,21.749,27.381,0.035,0.248,0.325,-10.31,-11.732,-10.299,-11.21,-10.263
electrical_engineering,484782,16.248,23.418,0.188,0.057,0.063,-8.382,-9.025,-8.735,-8.47,-8.331
fishery,135435,28.068,31.658,0.027,0.228,0.313,-12.382,-14.162,-12.74,-13.655,-12.226
geometry,96215,16.436,26.106,0.106,0.223,0.32,-13.432,-14.156,-11.805,-15.018,-13.692
computer_security,128974,23.429,38.19,0.128,0.185,0.25,-6.613,-6.929,-7.097,-6.288,-6.54
real_time_computing,245464,18.613,31.074,0.128,0.129,0.164,-6.397,-6.273,-6.464,-5.862,-6.469
systems_engineering,65440,21.156,30.314,0.098,0.229,0.31,-7.428,-7.366,-7.391,-7.279,-7.456
gender_studies,72590,26.777,27.515,0.094,0.168,0.211,-11.991,-13.552,-11.841,-13.316,-11.851
crystallography,273400,25.232,32.869,0.035,0.111,0.136,-10.635,-13.095,-9.706,-13.602,-10.632
emergency_medicine,50707,23.57,36.417,0.038,0.295,0.43,-8.052,-8.467,-8.355,-8.021,-7.919
mining_engineering,11118,14.502,17.234,0.178,0.395,0.608,-12.655,-12.976,-12.45,-12.079,-12.873
biotechnology,49199,49.328,52.38,0.052,0.387,0.594,-8.998,-9.372,-8.854,-9.982,-9.022
neuroscience,303638,57.023,73.693,0.008,0.135,0.169,-9.332,-11.442,-9.125,-10.839,-9.349
geotechnical_engineering,121546,17.877,26.065,0.078,0.145,0.183,-13.567,-13.995,-12.418,-13.961,-13.718
econometrics,160533,24.532,59.938,0.019,0.156,0.204,-12.521,-11.346,-11.172,-13.594,-12.756
actuarial_science,51425,25.49,42.231,0.052,0.267,0.372,-9.918,-9.485,-9.446,-9.04,-10.144
physical_geography,13778,29.766,45.455,0.041,0.412,0.695,-11.361,-14.271,-11.435,-13.868,-11.112
literature,27513,21.077,17.768,0.167,0.219,0.293,-18.918,-20.885,-17.681,-20.812,-18.774
natural_language_processing,71424,23.347,39.227,0.049,0.193,0.255,-7.899,-7.608,-7.974,-7.621,-7.899
cognitive_science,22517,45.453,58.296,0.037,0.377,0.557,-12.536,-14.543,-12.091,-14.291,-12.692
market_economy,17262,25.812,37.433,0.099,0.319,0.443,-10.161,-10.219,-10.185,-9.755,-10.192
soil_science,35233,30.071,38.035,0.03,0.251,0.363,-12.321,-11.959,-11.656,-14.46,-12.489
microeconomics,113646,25.444,65.84,0.023,0.175,0.226,-11.464,-9.327,-10.731,-11.078,-11.641
pedagogy,248651,24.576,33.281,0.086,0.082,0.095,-10.366,-10.248,-9.948,-10.685,-10.374
audiology,73093,28.295,36.374,0.019,0.278,0.373,-11.157,-11.732,-10.837,-12.403,-11.252
agricultural_economics,26107,20.767,33.085,0.099,0.285,0.394,-9.917,-10.168,-9.763,-10.301,-9.925
world_wide_web,147766,24.764,38.721,0.154,0.155,0.201,-5.542,-5.725,-5.757,-5.369,-5.529
aerospace_engineering,35755,14.649,20.322,0.097,0.2,0.257,-11.113,-10.842,-10.173,-11.275,-11.334
veterinary_medicine,66677,22.461,26.605,0.034,0.337,0.515,-11.354,-13.163,-11.413,-13.259,-11.226
management_science,54820,32.751,53.102,0.061,0.3,0.417,-10.363,-9.919,-9.83,-11.483,-10.536
mathematical_analysis,445838,17.853,28.988,0.021,0.059,0.072,-13.66,-12.503,-11.863,-15.612,-13.734
climatology,123538,36.531,49.279,0.013,0.132,0.183,-9.787,-10.988,-9.896,-11.898,-9.743
nuclear_chemistry,80710,18.287,25.09,0.111,0.199,0.255,-10.453,-11.244,-10.036,-11.217,-10.438
accounting,36913,32.988,49.459,0.053,0.26,0.419,-10.667,-10.032,-10.456,-10.121,-10.783
biomedical_engineering,125298,39.373,46.424,0.062,0.243,0.326,-9.322,-10.101,-9.245,-9.675,-9.306
gerontology,124815,31.098,51.508,0.038,0.171,0.221,-8.698,-10.012,-9.015,-9.489,-8.591
neoclassical_economics,3249,26.444,31.031,0.072,0.541,0.958,-16.669,-14.224,-16.823,-15.158,-16.807
physical_medicine_and_rehabilitation,81431,32.764,40.741,0.024,0.236,0.324,-10.306,-10.926,-10.341,-10.814,-10.278
ethnology,22629,20.488,21.139,0.177,0.303,0.45,-14.108,-14.45,-14.319,-14.009,-14.009
agronomy,232324,25.529,29.108,0.05,0.129,0.166,-12.058,-13.019,-11.666,-12.867,-12.064
optometry,16662,25.712,32.789,0.036,0.364,0.542,-10.481,-11.725,-10.473,-13.24,-10.366
natural_resource_economics,21758,26.609,42.044,0.098,0.313,0.454,-8.423,-8.601,-8.855,-8.308,-8.231
theology,6907,22.592,16.616,0.2,0.318,0.475,-16.965,-16.775,-16.679,-18.373,-16.744
genealogy,6800,27.485,28.147,0.113,0.551,1.036,-16.435,-19.095,-16.149,-19.552,-15.957
computational_chemistry,170572,32.911,36.132,0.019,0.11,0.133,-11.241,-15.319,-10.179,-15.85,-11.273
zoology,109949,32.056,33.66,0.02,0.407,0.621,-16.912,-22.363,-17.646,-23.541,-16.205
distributed_computing,197141,20.323,36.069,0.069,0.133,0.178,-6.235,-5.893,-6.213,-5.779,-6.276
biochemical_engineering,7948,58.336,55.792,0.053,0.608,1.136,-9.116,-11.733,-9.089,-11.931,-8.767
theoretical_computer_science,131257,22.886,43.847,0.036,0.191,0.253,-8.251,-7.538,-7.769,-8.069,-8.378
nanotechnology,165779,41.835,47.212,0.07,0.157,0.205,-7.74,-9.713,-8.277,-8.695,-7.54
