name,number,reference,citation,dvalue,newk,newknum,refage,C&D,C&D_p,K&D,K&D_p,K&C,K&C_p,K&A,K&A_p,D&A,D&A_P
fishery,135435,28.068,31.658,0.027,0.228,0.313,-12.382,-0.05730123058169545,7.177405311272874e-99,0.031832529114022304,1.0343303758791165e-31,0.0058992520409529466,0.029930282783147747,-0.03214442663783834,2.6488047046095976e-32,-0.03428449564801546,1.621647949408573e-36
geometry,96215,16.436,26.106,0.106,0.223,0.32,-13.432,-0.07380523135601527,2.6610692081646605e-116,-0.036005534971862964,5.598995365923121e-29,0.07785320651520423,3.174550720951496e-129,0.0851945870734739,1.9359867181550727e-154,-0.05506900286096844,1.6350365922989171e-65
computer_security,128974,23.429,38.19,0.128,0.185,0.25,-6.613,-0.09029806814093813,1.2634998407407797e-231,-0.0174017244845288,4.1075425775163945e-10,0.07129093938750969,6.2067017945237176e-145,-0.049430952040560236,1.372168440109416e-70,0.018580868799505976,2.498594789977487e-11
real_time_computing,245464,18.613,31.074,0.128,0.129,0.164,-6.397,-0.09761900543642836,0.0,-0.014073926971168674,3.0994008393075584e-12,0.06033943624651508,1.0220446807537372e-196,-0.004784131439075068,0.01777524107519976,0.05144476852734703,1.74733194600816e-143
systems_engineering,65440,21.156,30.314,0.098,0.229,0.31,-7.428,-0.0901642684070836,3.5245541262691774e-118,0.038533485806973015,6.154567532178225e-23,0.03966461965958995,3.296591823431725e-24,0.004852215405999211,0.21451687470918873,0.009060598079162905,0.020459273106749595
gender_studies,72590,26.777,27.515,0.094,0.168,0.211,-11.991,-0.0752343323795415,1.3269008580398803e-91,0.016679473871991223,6.986226527753358e-06,0.04063621447984757,6.445318425434135e-28,-0.0018790633075318546,0.6126748755827192,-0.06363347321433661,5.150537826001591e-66
crystallography,273400,25.232,32.869,0.035,0.111,0.136,-10.635,-0.01403003948587511,2.1956696024535415e-13,0.015161262727259647,2.2290103595260684e-15,0.03782933706234326,3.847776372358037e-87,0.04592528559617031,1.4940589279706428e-127,-0.09109340157886242,0.0
emergency_medicine,50707,23.57,36.417,0.038,0.295,0.43,-8.052,-0.0627220922039699,2.2317146317389917e-45,0.027576385515022752,5.273644758473182e-10,0.009499817787264678,0.03242069582133314,-0.04474140690339143,6.788820638923454e-24,-0.005734755760070378,0.1965846255192872
mining_engineering,11118,14.502,17.234,0.178,0.395,0.608,-12.655,-0.13732270034530536,6.110724364100466e-48,-0.010836066495751754,0.2532542197698835,0.04766300353547012,4.956958276952353e-07,0.009803429840191433,0.3013226635978555,0.011432426224024583,0.2280640076738227
biotechnology,49199,49.328,52.38,0.052,0.387,0.594,-8.998,-0.07369487704557273,3.2372069040131e-60,-0.006821752767940693,0.13025381666624006,0.03782669027415361,4.736056819426095e-17,0.016908669068215143,0.0001763704719606028,-0.03178352026129601,1.7705466907924691e-12
neuroscience,303638,57.023,73.693,0.008,0.135,0.169,-9.332,-0.031507130521346405,1.4998995818027166e-67,0.024854465433680806,1.0478512362670496e-42,0.03060478470008972,7.718174657158018e-64,0.014784751918799601,3.7211992901974545e-16,-0.03153912449941021,1.1028007394746636e-67
